N°;APELLIDO;NOMBRE;EDAD;ELO NACIONAL;ELO FIDE; Region ;TELEFONO;T.JUGADOS
1;AZOLA;RODRIGO;23;2501;2493;V;65387653;1300
2;BEAS;PATRICIO;31;2499;2390;III;34676553;514
3;CABEZAS;AGUSTIN;21;2475;2358;VI;88765326;1000
4;CAIPILLAN;HERNAN;20;2456;2354;XV;38987652;534
5;CARIAGA;GUSTAVO;19;2419;2344;VIII;87654323;887
6;CARVAJAL;SEBASTIAN;18;2404;2340;VIII;63437588;433
7;CHRISTIANSEN;LEONEL;26;2384;2296;IV;35465787;1244
8;DIAZ;JUAN;20;2234;2277;VI;98755654;412
9;FERNANDEZ;HANS;30;2214;2230;X;98708765;356
10;GONZALEZ;JORGE;33;2200;2201;II;45685699;2132
11;GONZALEZ;PABLO;23;2190;2107;I;56894534;424
12;HILLS;ROMINA;25;2154;2100;IX;98760987;1666
13;JERIA;LUIS;30;2143;2093;V;69876534;754
14;JORQUERA;MAURICIO;27;2100;2000;IV;98765437;789
15;MALEBRAN;NICOLAS;25;1984;1999;IV;98765345;454
16;MENDEZ;GUSTAVO;21;1954;1922;V;24537494;223
17;MIRANDA;FELIPE;27;1912;1900;III;98763452;346
18;MORA ;CESAR;19;1904;1898;II;90032575;998
19;MORALES;MARCOS;29;1890;1845;R.M;98765422;767
20;ORTEGA;SILVIO;20;1824;1844;V;76663334;362
21;PARDO;JOHN;34;1821;1836;R.M;87634777;888
22;PEREZ;IVAN;40;1818;1800;R.M;37686856;546
23;PIZARRO;GONZALO;25;1712;1798;XI;74578844;643
24;QUIROZ;MIGUEL;45;1710;1786;R.M;33222116;234
25;REYES;ALEJANDRO;34;1701;1756;V;85645098;1166
26;REYES;FRANCISCO;25;1696;1721;VIII;98777765;525
27;RODRIGUEZ;FABIAN;27;1640;1699;R.M;87689905;788
28;ROJAS;GUILLERMO;26;1639;1678;R.M;56749987;745
29;ROJAS;MICHAEL;28;1632;1650;IV;96643328;122
30;ROZAS;DANIEL;20;1622;1615;XV;62211874;218
